time,lasttime,lat,lng,speed,course,altitude,comment
313241568a0,9/28/2021 13:48,34.964,-87.524,9,45,333.76, StrTrk 35 9 1.63V 27C 97893Pa 
9/28/2021 13:49,9/28/2021 13:49,34.96567,-87.52117,22,68,426.72, StrTrk 36 9 1.62V 27C 96903Pa 
9/28/2021 13:50,9/28/2021 13:50,34.96667,-87.51683,22,75,507.8, StTrk 37 9 1.62V 28C 96028Pa 
9/28/2021 13:51,9/28/2021 13:51,34.96733,-87.5125,24,81,586.74, StrTrk 38 9 1.63V 28C 95160Pa 
9/28/2021 13:52,9/28/2021 13:52,34.96767,-87.50783,24,85,671.78, StrTrk 39 9 1.63V 29C 94225Pa 
9/28/2021 13:53,9/28/2021 13:53,34.96783,-87.50317,22,92,759.87, StrTrk 40 9 1.62V 29C 93283Pa 
9/28/2021 13:54,9/28/2021 13:54,34.96767,-87.499,22,98,844.91, StrTrk 41 9 1.62V 29C 92338Pa 
9/28/2021 13:55,9/28/2021 13:55,34.96717,-87.49517,17,97,937.87, StrTrk 424532 9 1.62V 28C 91365Pa 
9/28/2021 13:56,9/28/2021 13:56,34.9665,-87.492,17,108,1027.79, StrTrk 43 9 1.62V 28C 90421Pa 
9/28/2021 13:57,9/28/2021 13:57,34.96567,-87.48883,19,110,1115.87, StrTrk 44 9 1.62V 28C 89516Pa 
9/28/2021 13:58,9/28/2021 13:58,34.9645,-87.48567,17,110,1196.04, StrTrk 45 9 1.63V 27C 88667Pa 
9/28/2021 13:59,9/28/2021 13:59,34.9635,-87.48267,19,117,1273.76, StrTrk 46 9 1.62V 27C 87867Pa 
9/28/2021 14:00,9/28/2021 14:00,34.96233,-87.4795,17,113,1351.79, StrTrk 47 9 1.62V 27C 87056Pa 
9/28/2021 14:01,9/28/2021 14:01,34.96133,-87.4765,17,110,1436.83, StrTrk 48 9 1.62V 26C 86251Pa 
9/28/2021 14:02,9/28/2021 14:02,34.96033,-87.47333,19,108,1506.93, StrTrk 49 9 1.62V 25C 85471Pa 
8/202213,9/28/2021 14:03,34.9595,-87.47017,17,103,1588.01, StrTrk 50 9 1.62V 24C 84678Pa 
9/28/2021 14:04,9/28/2021 14:04,34.95917,-87.46717,17,83,1666.95, StrTrk 51 9 1.63V 24C 83893Pa 
9/28/2021 14:05,9/28/2021 14:05,34.9595,-87.4635,22,87,1739.8, StrTrk 52 9 1.61V 24C 83179Pa 
9/28/2021 14:06,9/28/2021 14:06,34.95967,-87.45867,24,90,1834.9, StrTrk 53 9 1.61V 23C 82261Pa 
9/28/2021 14:07,9/28/2021 14:07,34.9595,-87.45317,30,92,1926.95, StrTrk 54 9 1.62V 23C 81356Pa 
9/28/2021 14:08,9/28/2021 14:08,34.9595,-87.44783,26,84,2031.8, StrTrk 55 9 1.60V 22C 80382Pa 
9/28/2021 14:09,9/28/2021 14:09,34.96083,-87.44333,24,58,2125.07, StrTrk 56 9 1.60V 22C 79513Pa 
9/28/2021 14:10,9/28/2021 14:10,34.963,-87.44017,20,43,2203.09, StrTrk 57 9 1.61V 22C 78731Pa 
9/28/2021 14:11,9/28/2021 14:11,34.965,-87.43833,13,26,2282.04, StrTrk 58 9 1.61V 23C 77991Pa 
9/28/2021 14:12,9/28/2021 14:12,34.967,-87.43767,13,25,2360.07, StrTrk 59 9 1.60V 23C 77261Pa 
9/28/2021 14:13,9/28/2021 14:13,34.969,-87.437,17,4,2447.85, StrTrk 60 9 1.61V 23C 76475Pa 
9/28/2021 14:14,9/28/2021 14:14,34.97183,-87.437,17,355,2543.86, StrTrk 61 9 1.60V 23C 75636Pa 
9/28/2021 14:15,9/28/2021 14:15,34.975,-87.43783,22,343,2641.09, StrTrk 62 9 1.60V 23C 74756Pa 
9/28/2021 14:16,9/28/2021 14:16,34.97767,-87.43917,19,341,2734.06, StrTrk 63 9 1.60V 22C 73943Pa 
9/28/2021 14:17,9/28/2021 14:17,34.98017,-87.44,15,342,2816.96, StrTrk 64 9 1.60V 22C 73095Pa 
9/28/2021 14:18,9/28/2021 14:18,34.982,-87.44033,11,1,2912.06, StrTrk 65 9 1.61V 21C 72287Pa 
9/28/2021 14:19,9/28/2021 14:19,34.98383,-87.44017,11,6,3005.94, StrTrk 66 9 1.60V 21C 71458Pa 
9/28/2021 14:20,9/28/2021 14:20,34.986,-87.43917,15,19,3093.11, StrTrk 67 9 1.60V 21C 70697Pa 
9/28/2021 14:21,9/28/2021 14:21,34.988,-87.43817,13,27,3183.03, StrTrk 68 9 1.59V 20C 69953Pa 
9/28/2021 14:22,9/28/2021 14:22,34.98967,-87.43683,13,31,3268.07, StrTrk 69 9 1.60V 20C 69209Pa 
9/28/2021 14:23,9/28/2021 14:23,34.99183,-87.4355,17,25,3350.97, StrTrk 70 9 1.60V 20C 68494Pa 
9/28/2021 14:24,9/28/2021 14:24,34.99417,-87.43433,17,15,3436.92, StrTrk 71 9 1.60V 19C 67802Pa 
9/28/2021 14:25,9/28/2021 14:25,34.99683,-87.4335,19,8,3518.92, StrTrk 72 9 1.59V 19C 67108Pa 
9/28/2021 14:26,9/28/2021 14:26,34.99983,-87.43333,20,354,3603.96, StrTrk 73 9 1.59V 18C 66427Pa 
9/28/2021 14:27,9/28/2021 14:27,35.00317,-87.43333,22,8,3688.08, StrTrk 74 9 1.59V 18C 65757Pa 
9/28/2021 14:28,9/28/2021 14:28,35.0065,-87.43233,22,25,3773.12, StrTrk 75 9 1.59V 18C 65085Pa 
9/28/2021 14:29,9/28/2021 14:29,35.0095,-87.43083,22,24,3866.08, StrTrk 76 9 1.59V 18C 64357Pa 
9/28/2021 14:30,9/28/2021 14:30,35.01183,-87.429,15,37,3961.18, StrTrk 77 9 1.59V 17C 63611Pa 
9/28/2021 14:31,9/28/2021 14:31,35.01367,-87.42683,15,46,4059.02, StrTrk 78 9 1.59V 17C 62852Pa 
9/28/2021 14:32,9/28/2021 14:32,35.0155,-87.42467,17,43,4155.95, StrTrk 79 9 1.58V 16C 62096Pa 
9/28/2021 14:33,9/28/2021 14:33,35.017,-87.42267,11,42,4253.18, StrTrk 80 9 1.58V 15C 61357Pa 
9/28/2021 14:34,9/28/2021 14:34,35.01833,-87.421,13,43,4347.06, StrTrk 81 9 1.59V 15C 60679Pa 
9/28/2021 14:35,9/28/2021 14:35,35.0195,-87.41917,13,54,4429.05, StrTrk 82 9 1.58V 14C 60038Pa 
9/28/2021 14:36,9/28/2021 14:36,35.0205,-87.41717,13,63,4513.17, StrTrk 83 9 1.58V 14C 59415Pa 
9/28/2021 14:37,9/28/2021 14:37,35.0215,-87.41517,11,52,4596.99, StrTrk 84 9 1.58V 14C 58793Pa 
9/28/2021 14:38,9/28/2021 14:38,35.0225,-87.41317,13,56,4680.2, StrTrk 85 9 1.56V 14C 58178Pa 
9/28/2021 14:39,9/28/2021 14:39,35.02367,-87.41133,9,54,4769.21, StrTrk 86 9 1.57V 13C 57562Pa 
9/28/2021 14:40,9/28/2021 14:40,35.02467,-87.4095,11,59,4860.95, StrTrk 87 9 1.56V 12C 56898Pa 
9/28/2021 14:41,9/28/2021 14:41,35.02567,-87.40733,13,67,4952.09, StrTrk 88 9 1.57V 11C 56239Pa 
9/28/2021 14:42,9/28/2021 14:42,35.02683,-87.405,15,57,5045.05, StrTrk 89 9 1.57V 11C 55584Pa 
9/28/2021 14:43,9/28/2021 14:43,35.02767,-87.40183,17,91,5134.97, StrTrk 90 9 1.57V 10C 54934Pa 
9/28/2021 14:44,9/28/2021 14:44,35.02733,-87.39817,24,107,5232.2, StrTrk 91 9 1.57V 09C 54285Pa 
9/28/2021 14:45,9/28/2021 14:45,35.02567,-87.39467,22,121,5323.03, StrTrk 92 9 1.57V 09C 53655Pa 
9/28/2021 14:46,9/28/2021 14:46,35.02333,-87.39167,22,133,5415.99, StrTrk 93 9 1.55V 8C 53038Pa 
9/28/2021 14:47,9/28/2021 14:47,35.021,-87.38833,20,127,5499.2, StrTrk 94 9 1.56V 8C 52464Pa 
9/28/2021 14:49,9/28/2021 14:49,35.01617,-87.38233,26,140,5663.18, StrTrk 96 9 1.57V 8C 51362Pa 
9/28/2021 14:50,9/28/2021 14:50,35.01317,-87.37967,22,146,5747, StrTrk 97 9 1.56V 7C 50820Pa 
9/28/2021 14:51,9/28/2021 14:51,35.01017,-87.37733,22,147,5832.04, StrTrk 98 9 1.54V 7C 50268Pa 
9/28/2021 14:52,9/28/2021 14:52,35.00717,-87.37517,22,155,5924.09, StrTrk 99 9 1.55V 6C 49692Pa 
9/28/2021 14:53,9/28/2021 14:53,35.0045,-87.373,24,137,6014.01, StrTrk 100 9 1.55V 6C 49110Pa 
9/28/2021 14:54,9/28/2021 14:54,35.00167,-87.36983,26,139,6112.15, StrTrk 101 9 1.55V 6C 48506Pa 
9/28/2021 14:55,9/28/2021 14:55,34.99883,-87.36733,22,146,6207.25, StrTrk 102 9 1.55V 4C 47921Pa 
9/28/2021 14:56,9/28/2021 14:56,34.99583,-87.36583,19,164,6302.04, StrTrk 103 9 1.56V 4C 47313Pa 
9/28/2021 14:57,9/28/2021 14:57,34.99283,-87.36483,22,162,6392.27, StrTrk 104 9 1.54V 5C 46749Pa 
9/28/2021 14:58,9/28/2021 14:58,34.988,-87.43817,13,27,3183.03, StrTrk 68 9 1.59V 20C 69953Pa 
9/28/2021 14:59,9/28/2021 14:59,34.98683,-87.36183,20,159,6572.1, StrTrk 106 9 1.54V 3C 45678Pa 
9/28/2021 15:00,9/28/2021 15:00,34.984,-87.3605,20,158,6652.26, StrTrk 107 9 1.54V 2C 45201Pa 
9/28/2021 15:01,9/28/2021 15:01,34.9815,-87.35917,17,160,6730.29, StrTrk 108 9 1.53V 1C 44740Pa 
9/28/2021 15:02,9/28/2021 15:02,34.97917,-87.358,17,159,6806.18, StrTrk 109 9 1.54V 1C 44290Pa 
9/28/2021 15:03,9/28/2021 15:03,34.97633,-87.35683,19,155,6882.08, StrTrk 110 9 1.53V 1C 43847Pa 
9/28/2021 15:04,9/28/2021 15:04,34.97367,-87.3555,19,154,6960.11, StrTrk 111 9 1.54V 1C 43389Pa 
9/28/2021 15:05,9/28/2021 15:05,34.97083,-87.35383,22,153,7041.18, StrTrk 112 9 1.53V 0C 42944Pa 
9/28/2021 15:06,9/28/2021 15:06,34.968,-87.35217,20,152,7123.18, StrTrk 113 9 1.53V 0C 42484Pa 
9/28/2021 15:07,9/28/2021 15:07,34.965,-87.35017,24,148,7204.25, StrTrk 114 9 1.53V 0C 42020Pa 
9/28/2021 15:08,9/28/2021 15:08,34.9615,-87.34733,30,147,7288.07, StrTrk 115 9 1.54V -1C 41542Pa 
9/28/2021 15:09,9/28/2021 15:09,34.95767,-87.344,31,147,7373.11, StrTrk 116 9 1.53V -1C 41067Pa 
9/28/2021 15:11,9/28/2021 15:11,34.94917,-87.33617,35,141,7546.24, StrTrk 118 9 1.53V -3C 40142Pa 
9/28/2021 15:12,9/28/2021 15:12,34.9445,-87.332,41,139,7629.14, StrTrk 119 9 1.51V -3C 39683Pa 
9/28/2021 15:13,9/28/2021 15:13,34.9395,-87.32733,41,142,7716.32, StrTrk 120 9 1.51V -4C 39234Pa 
9/28/2021 15:14,9/28/2021 15:14,34.93433,-87.32217,43,136,7804.1, StrTrk 121 9 1.52V -4C 38747Pa 
9/28/2021 15:15,9/28/2021 15:15,34.92983,-87.316,43,127,7900.11, StrTrk 122 9 1.52V -5C 38250Pa 
9/28/2021 15:16,9/28/2021 15:16,34.9255,-87.30933,44,130,7994.29, StrTrk 123 9 1.52V -5C 37776Pa 
9/28/2021 15:17,9/28/2021 15:17,34.92117,-87.30267,46,127,8090.31, StrTrk 124 9 1.53V -5C 37271Pa 
9/28/2021 15:19,9/28/2021 15:19,34.91283,-87.28817,50,122,8290.26, StrTrk 126 9 1.52V -7C 36273Pa 
9/28/2021 15:20,9/28/2021 15:20,34.90883,-87.28,52,117,8391.14, StrTrk 127 9 1.54V -8C 35780Pa 
9/28/2021 15:21,9/28/2021 15:21,34.90483,-87.272,50,120,8493.25, StrTrk 128 9 1.51V -8C 35292Pa 
9/28/2021 15:22,9/28/2021 15:22,34.9005,-87.26367,54,120,8589.26, StrTrk 129 9 1.50V -09C 34808Pa 
9/28/2021 15:23,9/28/2021 15:23,34.89583,-87.255,57,119,8677.35, StrTrk 130 9 1.51V -10C 34387Pa 
9/28/2021 15:24,9/28/2021 15:24,34.89117,-87.246,57,122,8762.39, StrTrk 131 9 1.51V -11C 33979Pa 
9/28/2021 15:25,9/28/2021 15:25,34.8865,-87.23667,59,123,8849.26, StrTrk 132 9 1.51V -11C 33576Pa 
9/28/2021 15:26,9/28/2021 15:26,34.88133,-87.227,65,125,8933.38, StrTrk 133 9 1.50V -11C 33186Pa 
