time,lasttime,lat,lng,speed,course,altitude,comment
2021-09-28 13:48:16,2021-09-28 13:48:16,34.96400,-87.52400,9,45,333.76," StrTrk 35 9 1.63V 27C 97893Pa "
2021-09-28 13:49:15,2021-09-28 13:49:15,34.96567,-87.52117,22,68,426.72," StrTrk 36 9 1.62V 27C 96903Pa "
2021-09-28 13:50:15,2021-09-28 13:50:15,34.96667,-87.51683,22,75,507.80," StrTrk 37 9 1.62V 28C 96028Pa "
2021-09-28 13:51:15,2021-09-28 13:51:15,34.96733,-87.51250,24,81,586.74," StrTrk 38 9 1.63V 28C 95160Pa "
2021-09-28 13:52:15,2021-09-28 13:52:15,34.96767,-87.50783,24,85,671.78," StrTrk 39 9 1.63V 29C 94225Pa "
2021-09-28 13:53:15,2021-09-28 13:53:15,34.96783,-87.50317,22,92,759.87," StrTrk 40 9 1.62V 29C 93283Pa "
2021-09-28 13:54:16,2021-09-28 13:54:16,34.96767,-87.49900,22,98,844.91," StrTrk 41 9 1.62V 29C 92338Pa "
2021-09-28 13:55:16,2021-09-28 13:55:16,34.96717,-87.49517,17,97,937.87," StrTrk 42 9 1.62V 28C 91365Pa "
2021-09-28 13:56:15,2021-09-28 13:56:15,34.96650,-87.49200,17,108,1027.79," StrTrk 43 9 1.62V 28C 90421Pa "
2021-09-28 13:57:15,2021-09-28 13:57:15,34.96567,-87.48883,19,110,1115.87," StrTrk 44 9 1.62V 28C 89516Pa "
2021-09-28 13:58:15,2021-09-28 13:58:15,34.96450,-87.48567,17,110,1196.04," StrTrk 45 9 1.63V 27C 88667Pa "
2021-09-28 13:59:15,2021-09-28 13:59:15,34.96350,-87.48267,19,117,1273.76," StrTrk 46 9 1.62V 27C 87867Pa "
2021-09-28 14:00:15,2021-09-28 14:00:15,34.96233,-87.47950,17,113,1351.79," StrTrk 47 9 1.62V 27C 87056Pa "
2021-09-28 14:01:15,2021-09-28 14:01:15,34.96133,-87.47650,17,110,1436.83," StrTrk 48 9 1.62V 26C 86251Pa "
2021-09-28 14:02:15,2021-09-28 14:02:15,34.96033,-87.47333,19,108,1506.93," StrTrk 49 9 1.62V 25C 85471Pa "
2021-09-28 14:03:15,2021-09-28 14:03:15,34.95950,-87.47017,17,103,1588.01," StrTrk 50 9 1.62V 24C 84678Pa "
2021-09-28 14:04:15,2021-09-28 14:04:15,34.95917,-87.46717,17,83,1666.95," StrTrk 51 9 1.63V 24C 83893Pa "
2021-09-28 14:05:15,2021-09-28 14:05:15,34.95950,-87.46350,22,87,1739.80," StrTrk 52 9 1.61V 24C 83179Pa "
2021-09-28 14:06:15,2021-09-28 14:06:15,34.95967,-87.45867,24,90,1834.90," StrTrk 53 9 1.61V 23C 82261Pa "
2021-09-28 14:07:15,2021-09-28 14:07:15,34.95950,-87.45317,30,92,1926.95," StrTrk 54 9 1.62V 23C 81356Pa "
2021-09-28 14:08:15,2021-09-28 14:08:15,34.95950,-87.44783,26,84,2031.80," StrTrk 55 9 1.60V 22C 80382Pa "
2021-09-28 14:09:15,2021-09-28 14:09:15,34.96083,-87.44333,24,58,2125.07," StrTrk 56 9 1.60V 22C 79513Pa "
2021-09-28 14:10:15,2021-09-28 14:10:15,34.96300,-87.44017,20,43,2203.09," StrTrk 57 9 1.61V 22C 78731Pa "
