time,lasttime,lat,lng,speed,course,altitude,comment
9/23/2021 16:02,9/23/2021 16:02,34.86433,-87.53,15,162,276.76, StrTrk 14 9 1.62V 26C 98688Pa 
,9/23/2021 16:03,34.86217,-87.5285,20,145,439.83, StrTrk 15 9 1.62V 24C 96965Pa 
9/23/2021 16:04,9/23/2021 16:04,34.86,,15,,522.73, StrTrk 16 9 1.61V 23C 96034Pa 
9/23/2021 16:05,9/23/2021 16:05,34.85783,-87.5255,19,152,576.99, StrTrk 17 9 1.61V 22C 95422Pa 
9/23/2021 16:06,,34.85533,-87.5235,,154,641.91, StrTrk 18 9 1.60V 21C 94688Pa 
9/23/2021 16:07,9/23/2021 16:07,34.85267,-87.52183,15,151,682.75, StrTrk 19 9 1.61V 21C 94191Pa 
9/23/2021 16:08,,34.85,-87.51983,20,,723.9, StrTrk 20 9 1.61V 20C 93749Pa 
9/23/2021 16:09,9/23/2021 16:09,34.8475,-87.518,24,161,798.88, StTrk 21 9 1.60V 20C 92903Pa 
9/23/2021 16:10,9/23/2021 16:10,34.845,-87.51617,22,144,855.88, StrTrk 22 9 1.60V 19C 92359Pa 
9/23/2021 16:11,9/23/2021 16:11,34.84233,-87.5135,22,150,922.02, StrTrk 23 9 1.60V 18C 91604Pa 
9/23/2021 16:12,9/23/2021 16:12,34.8395,-87.51117,17,158,1000.96, StrTrk 24 9 1.59V 18C 90740Pa 
9/23/2021 16:13,9/23/2021 16:13,34.83567,-87.50817,26,147,1155.8, StrTrk 25 9 1.59V 17C 89035Pa 
9/23/2021 16:14,9/23/2021 16:14,34.832,-87.50617,30,149,1253.03, StrTrk 26 9 1.58V 16C 87990Pa 
9/23/2021 16:15,9/23/2021 16:15,34.82717,-87.5035,43,149,1374.95, StrTrk 27 9 1.59V 15C 86702Pa 
9/23/2021 16:16,9/23/2021 16:16,34.82233,-87.50017,28,159,1426.77, StrTrk 28 9 1.57V 14C 86189Pa 
9/23/2021 16:17,9/23/2021 16:17,34.81717,-87.497,39,159,1524, StrTrk 29 9 1.58V 14C 85143Pa 
9/23/2021 16:18,9/23/2021 16:18,34.8115,-87.49467,33,168,1648.05, StrTrk 30 9 1.57V 13C 83858Pa 
9/23/2021 16:19,9/23/2021 16:19,34.80583,-87.493,41,172,1791, StrTrk 31 9 1.57V 13C 82416Pa 
9/23/2021 16:20,9/23/2021 16:20,34.79983,-87.4915,39,166,1858.06, StrTrk 32 9 1.58V 13C 81779Pa 
9/23/2021 16:21,9/23/2021 16:21,34.79417,-87.48967,39,161,1901.04, StrTrk 33 9 1.58V 14C 81311Pa 
9/23/2021 16:22,9/23/2021 16:22,34.78867,-87.48783,41,162,1973.88, StrTrk 34 9 1.57V 15C 80602Pa 
9/23/2021 16:23,9/23/2021 16:23,34.7835,-87.4855,41,154,2068.98, StrTrk 35 9 1.58V 15C 79653Pa 
9/23/2021 16:24,9/23/2021 16:24,34.77817,-87.48267,37,152,2172.92, StrTrk 36 9 1.58V 15C 78653Pa 
9/23/2021 16:25,9/23/2021 16:25,34.77283,-87.4795,39,151,2264.97, StrTrk 37 9 1.57V 15C 77772Pa 
9/23/2021 16:26,9/23/2021 16:26,34.76783,-87.476,37,147,2356.1, StrTrk 38 9 1.57V 15C 76903Pa 
9/23/2021 16:27,9/23/2021 16:27,34.76367,-87.47233,33,138,2463.09, StrTrk 39 9 1.58V 15C 75894Pa 
9/23/2021 16:28,9/23/2021 16:28,34.75917,-87.46817,37,140,2589.89, StrTrk 40 9 1.58V 15C 74752Pa 
9/23/2021 16:29,9/23/2021 16:29,34.755,-87.46283,35,120,2720.95, StrTrk 41 9 1.59V 15C 73546Pa 
9/23/2021 16:30,9/23/2021 16:30,34.75183,-87.45733,31,126,2827.02, StrTrk 42 9 1.58V 15C 72593Pa 
9/23/2021 16:31,9/23/2021 16:31,34.74867,-87.45233,33,124,2924.86, StrTrk 43 9 1.58V 16C 71768Pa 
9/23/2021 16:32,9/23/2021 16:32,34.7455,-87.44733,35,129,3018.13, StrTrk 44 9 1.58V 16C 70958Pa 
9/23/2021 16:33,9/23/2021 16:33,34.74217,-87.4425,33,122,3112.01, StrTrk 45 9 1.58V 16C 70153Pa 
9/23/2021 16:34,9/23/2021 16:34,34.739,-87.43717,39,127,3208.02, StrTrk 46 9 1.58V 15C 69309Pa 
9/23/2021 16:35,9/23/2021 16:35,34.7355,-87.431,43,123,3318.05, StrTrk 47 9 1.57V 15C 68407Pa 
9/23/2021 16:36,9/23/2021 16:36,34.73133,-87.424,52,121,3436.92, StrTrk 48 9 1.59V 15C 67393Pa 
9/23/2021 16:37,9/23/2021 16:37,34.72667,-87.41667,44,126,3557.02, StrTrk 49 9 1.57V 15C 66419Pa 
9/23/2021 16:38,9/23/2021 16:38,34.72233,-87.40917,48,117,3660.95, StrTrk 50 9 1.59V 14C 65575Pa 
9/23/2021 16:39,9/23/2021 16:39,34.71883,-87.4015,43,114,3755.14, StrTrk 51 9 1.58V 14C 64808Pa 
9/23/2021 16:40,9/23/2021 16:40,34.715,-87.39433,54,130,3842, StrTrk 52 9 1.58V 14C 64120Pa 
9/23/2021 16:41,9/23/2021 16:41,34.7095,-87.38683,56,127,3924, StrTrk 53 9 1.57V 14C 63489Pa 
9/23/2021 16:42,9/23/2021 16:42,34.7045,-87.379,54,125,4016.96, StrTrk 54 9 1.58V 14C 62785Pa 
9/23/2021 16:43,9/23/2021 16:43,34.70017,-87.371,50,121,4116.02, StrTrk 55 9 1.58V 14C 62007Pa 
9/23/2021 16:44,9/23/2021 16:44,34.69667,-87.36283,52,116,4222.09, StrTrk 56 9 1.58V 14C 61196Pa 
9/23/2021 16:45,9/23/2021 16:45,34.69433,-87.3545,48,110,4332.12, StrTrk 57 9 1.58V 14C 60363Pa 
9/23/2021 16:46,9/23/2021 16:46,34.69183,-87.34633,50,108,4440.02, StrTrk 58 9 1.58V 14C 59558Pa 
9/23/2021 16:47,9/23/2021 16:47,34.6895,-87.33783,48,105,4539.08, StrTrk 59 9 1.57V 13C 58840Pa 
9/23/2021 16:48,9/23/2021 16:48,34.68767,-87.32917,50,109,4632.05, StrTrk 60 9 1.58V 13C 58165Pa 
9/23/2021 16:49,9/23/2021 16:49,34.68583,-87.32067,44,102,4723.18, StrTrk 61 9 1.57V 12C 57511Pa 
9/23/2021 16:50,9/23/2021 16:50,34.6835,-87.31283,46,112,4815.23, StrTrk 62 9 1.58V 12C 56840Pa 
9/23/2021 16:51,9/23/2021 16:51,34.68117,-87.30483,44,106,4913.07, StrTrk 63 9 1.58V 11C 56147Pa 
9/23/2021 16:52,9/23/2021 16:52,34.679,-87.29683,46,107,5017.01, StrTrk 64 9 1.57V 10C 55409Pa 
9/23/2021 16:53,9/23/2021 16:53,34.67683,-87.289,43,112,5130.09, StrTrk 65 9 1.57V 10C 54626Pa 
9/23/2021 16:54,9/23/2021 16:54,34.67483,-87.28117,43,101,5245, StrTrk 66 9 1.56V 09C 53838Pa 
9/23/2021 16:55,9/23/2021 16:55,34.67333,-87.273,43,103,5358.08, StrTrk 67 9 1.57V 8C 53072Pa 
9/23/2021 16:56,9/23/2021 16:56,34.6715,-87.26483,48,108,5470.25, StrTrk 68 9 1.56V 7C 52327Pa 
9/23/2021 16:57,9/23/2021 16:57,34.6695,-87.257,43,110,5575.1, StrTrk 69 9 1.56V 7C 51646Pa 
9/23/2021 16:58,9/23/2021 16:58,34.668,-87.24967,41,95,5678.12, StrTrk 70 9 1.57V 6C 50969Pa 
9/23/2021 16:59,9/23/2021 16:59,34.66717,-87.242,44,95,5772, StrTrk 71 9 1.57V 5C 50352Pa 
9/23/2021 17:00,9/23/2021 17:00,34.66733,-87.23433,44,82,5867.1, StrTrk 72 9 1.56V 4C 49752Pa 
9/23/2021 17:01,9/23/2021 17:01,34.668,-87.22617,48,83,5962.19, StrTrk 73 9 1.55V 4C 49138Pa 
9/23/2021 17:02,9/23/2021 17:02,34.669,-87.21767,46,84,6065.22, StrTrk 74 9 1.56V 3C 48515Pa 
9/23/2021 17:03,9/23/2021 17:03,34.66967,-87.20917,43,85,6160.01, StrTrk 75 9 1.55V 3C 47903Pa 
9/23/2021 17:04,9/23/2021 17:04,34.67017,-87.20067,44,88,6273.09, StrTrk 76 9 1.55V 2C 47208Pa 
9/23/2021 17:05,9/23/2021 17:05,34.67033,-87.19217,48,85,6385.26, StrTrk 77 9 1.55V 1C 46531Pa 
9/23/2021 17:06,9/23/2021 17:06,34.67083,-87.18367,46,89,6491.02, StrTrk 78 9 1.55V 0C 45881Pa 
9/23/2021 17:07,9/23/2021 17:07,34.671,-87.17483,50,83,6595.26, StrTrk 79 9 1.54V 0C 45258Pa 
9/23/2021 17:08,9/23/2021 17:08,34.67167,-87.16583,46,85,6696.15, StrTrk 80 9 1.55V 0C 44664Pa 
9/23/2021 17:09,9/23/2021 17:09,34.67233,-87.157,46,86,6795.21, StrTrk 81 9 1.54V 0C 44090Pa 
9/23/2021 17:10,9/23/2021 17:10,34.67233,-87.148,48,91,6890.31, StrTrk 82 9 1.54V -1C 43537Pa 
9/23/2021 17:11,9/23/2021 17:11,34.672,-87.13883,50,94,6984.19, StrTrk 83 9 1.54V -2C 43003Pa 
9/23/2021 17:12,9/23/2021 17:12,34.67083,-87.13,52,104,7079.28, StrTrk 84 9 1.53V -3C 42467Pa 
9/23/2021 17:13,9/23/2021 17:13,34.669,-87.12167,44,103,7176.21, StrTrk 85 9 1.54V -3C 41924Pa 
9/23/2021 17:14,9/23/2021 17:14,34.66667,-87.11417,43,115,7272.22, StrTrk 86 9 1.53V -4C 41387Pa 
9/23/2021 17:15,9/23/2021 17:15,34.66433,-87.10667,44,109,7373.11, StrTrk 87 9 1.53V -4C 40849Pa 
9/23/2021 17:16,9/23/2021 17:16,34.66233,-87.099,44,103,7475.22, StrTrk 88 9 1.52V -5C 40287Pa 
9/23/2021 17:17,9/23/2021 17:17,34.66083,-87.09033,46,95,7581.29, StrTrk 89 9 1.53V -6C 39720Pa 
9/23/2021 17:18,9/23/2021 17:18,34.65983,-87.08167,48,95,7686.14, StrTrk 90 9 1.53V -6C 39172Pa 
9/23/2021 17:19,9/23/2021 17:19,34.65833,-87.073,46,102,7795.26, StrTrk 91 9 1.52V -7C 38589Pa 
9/23/2021 17:20,9/23/2021 17:20,34.6565,-87.064,52,101,7901.33, StrTrk 92 9 1.52V -8C 38043Pa 
9/23/2021 17:21,9/23/2021 17:21,34.65517,-87.05417,54,100,8001.3, StrTrk 93 9 1.52V -8C 37521Pa 
9/23/2021 17:22,9/23/2021 17:22,34.653,-87.04383,59,108,8096.1, StrTrk 94 9 1.52V -09C 37064Pa 
9/23/2021 17:23,9/23/2021 17:23,34.6505,-87.03333,61,102,8191.2, StrTrk 95 9 1.52V -09C 36603Pa 
9/23/2021 17:24,9/23/2021 17:24,34.64833,-87.02233,65,102,8288.12, StrTrk 96 9 1.51V -10C 36065Pa 
9/23/2021 17:25,9/23/2021 17:25,34.64633,-87.0105,69,98,8388.4, StrTrk 97 9 1.52V -10C 35668Pa 
9/23/2021 17:26,9/23/2021 17:26,34.643,-86.99783,72,112,8494.17, StrTrk 98 9 1.52V -11C 35168Pa 
9/23/2021 17:27,9/23/2021 17:27,34.63867,-86.986,70,118,8603.28, StrTrk 99 9 1.51V -12C 34589Pa 
9/23/2021 17:28,9/23/2021 17:28,34.63433,-86.97483,67,117,8709.36, StrTrk 100 9 1.51V -13C 33997Pa 
9/23/2021 17:29,9/23/2021 17:29,34.6305,-86.96383,61,105,8815.43, StrTrk 101 9 1.50V -13C 33575Pa 
9/23/2021 17:30,9/23/2021 17:30,34.62767,-86.95317,59,107,8921.19, StrTrk 102 9 1.50V -13C 33066Pa 
9/23/2021 17:31,9/23/2021 17:31,34.6245,-86.94267,59,109,9031.22, StrTrk 103 9 1.50V -14C 32583Pa 
9/23/2021 17:32,9/23/2021 17:32,34.622,-86.93183,63,101,9141.26, StrTrk 104 9 1.51V -15C 32075Pa 
9/23/2021 17:33,9/23/2021 17:33,34.6195,-86.9205,61,103,9247.33, StrTrk 105 9 1.50V -16C 31605Pa 
9/23/2021 17:34,9/23/2021 17:34,34.617,-86.909,65,107,9359.19, StrTrk 106 9 1.49V -16C 31117Pa 
9/23/2021 17:35,9/23/2021 17:35,34.61483,-86.89767,65,106,9467.39, StrTrk 107 9 1.49V -17C 30622Pa 
9/23/2021 17:36,9/23/2021 17:36,34.61283,-86.88617,63,101,9581.39, StrTrk 108 9 1.50V -18C 30134Pa 
9/23/2021 17:37,9/23/2021 17:37,34.611,-86.87433,67,100,9697.21, StrTrk 109 9 1.50V -18C 29659Pa 
9/23/2021 17:38,9/23/2021 17:38,34.6095,-86.86233,72,99,9809.38, StrTrk 110 9 1.50V -19C 29188Pa 
9/23/2021 17:39,9/23/2021 17:39,34.608,-86.85017,70,95,9922.46, StrTrk 111 9 1.48V -19C 28717Pa 
9/23/2021 17:40,9/23/2021 17:40,34.6065,-86.838,67,98,10032.19, StrTrk 112 9 1.49V -20C 28266Pa 
9/23/2021 17:41,9/23/2021 17:41,34.60517,-86.82583,69,99,10145.27, StrTrk 113 9 1.48V -21C 27814Pa 
9/23/2021 17:43,9/23/2021 17:43,34.60267,-86.80183,65,100,10370.21, StrTrk 115 9 1.47V -23C 26926Pa 
9/23/2021 17:44,9/23/2021 17:44,34.60117,-86.79,63,98,10479.33, StrTrk 116 9 1.48V -23C 26503Pa 
9/23/2021 17:45,9/23/2021 17:45,34.59983,-86.7785,61,94,10588.45, StrTrk 117 9 1.48V -24C 26091Pa 
9/23/2021 17:46,9/23/2021 17:46,34.598,-86.76667,63,103,10701.22, StrTrk 118 9 1.47V -25C 25661Pa 
9/23/2021 17:47,9/23/2021 17:47,34.59567,-86.75467,70,101,10817.35, StrTrk 119 9 1.48V -26C 25229Pa 
9/23/2021 17:48,9/23/2021 17:48,34.59383,-86.7425,72,97,10933.48, StrTrk 120 9 1.47V -26C 24802Pa 
9/23/2021 17:49,9/23/2021 17:49,34.59217,-86.72983,74,98,11048.39, StrTrk 121 9 1.47V -27C 24382Pa 
9/23/2021 17:50,9/23/2021 17:50,34.59017,-86.71683,72,104,11171.53, StrTrk 122 9 1.46V -28C 23930Pa 
9/23/2021 17:51,9/23/2021 17:51,34.5875,-86.70417,74,109,11289.49, StrTrk 123 9 1.46V -28C 23518Pa 
9/23/2021 17:52,9/23/2021 17:52,34.58467,-86.692,72,105,11399.52, StrTrk 124 9 1.46V -29C 23136Pa 
9/23/2021 17:53,9/23/2021 17:53,34.5825,-86.67983,65,99,11512.3, StrTrk 125 9 1.46V -29C 22752Pa 
9/23/2021 17:54,9/23/2021 17:54,34.58067,-86.6675,67,100,11635.44, StrTrk 126 9 1.45V -30C 22341Pa 
9/23/2021 17:55,9/23/2021 17:55,34.5795,-86.6545,72,95,11763.45, StrTrk 127 9 1.45V -30C 21896Pa 
9/23/2021 17:56,9/23/2021 17:56,34.5775,-86.642,70,108,11895.43, StrTrk 128 9 1.45V -31C 21462Pa 
9/23/2021 17:57,9/23/2021 17:57,34.57533,-86.6295,72,96,12016.44, StrTrk 129 9 1.45V -30C 21066Pa 
9/23/2021 17:58,9/23/2021 17:58,34.57433,-86.616,72,93,12137.44, StrTrk 130 9 1.45V -30C 20676Pa 
9/23/2021 17:59,9/23/2021 17:59,34.57317,-86.60333,70,96,12256.31, StrTrk 131 9 1.44V -30C 20293Pa 
9/23/2021 18:00,9/23/2021 18:00,34.57233,-86.5905,70,93,12374.58, StrTrk 132 9 1.44V -30C 19924Pa 
9/23/2021 18:01,9/23/2021 18:01,34.57117,-86.57733,76,94,12498.32, StrTrk 133 9 1.45V -31C 19552Pa 
9/23/2021 18:02,9/23/2021 18:02,34.57017,-86.56367,78,91,12623.6, StrTrk 134 9 1.45V -32C 19193Pa 
9/23/2021 18:03,9/23/2021 18:03,34.57083,-86.5495,80,81,12748.56, StrTrk 135 9 1.44V -32C 18822Pa 
9/23/2021 18:04,9/23/2021 18:04,34.57217,-86.5355,76,82,12867.44, StrTrk 136 9 1.43V -32C 18481Pa 
9/23/2021 18:05,9/23/2021 18:05,34.5725,-86.52217,72,87,12989.36, StrTrk 137 9 1.44V -33C 18131Pa 
9/23/2021 18:06,9/23/2021 18:06,34.5725,-86.50867,74,88,13107.62, StrTrk 138 9 1.45V -33C 17801Pa 
9/23/2021 18:07,9/23/2021 18:07,34.57233,-86.49417,78,91,13216.43, StrTrk 139 9 1.44V -33C 17495Pa 
9/23/2021 18:08,9/23/2021 18:08,34.572,-86.4805,70,92,13318.54, StrTrk 140 9 1.44V -33C 17215Pa 
9/23/2021 18:09,9/23/2021 18:09,34.57167,-86.4675,70,89,13428.57, StrTrk 141 9 1.44V -33C 16920Pa 
9/23/2021 18:10,9/23/2021 18:10,34.57183,-86.455,70,87,13541.65, StrTrk 142 9 1.44V -33C 16621Pa 
9/23/2021 18:11,9/23/2021 18:11,34.57233,-86.44183,70,86,13665.4, StrTrk 143 9 1.43V -33C 16304Pa 
9/23/2021 18:12,9/23/2021 18:12,34.57267,-86.429,72,86,13790.37, StrTrk 144 9 1.43V -33C 15990Pa 
9/23/2021 18:13,9/23/2021 18:13,34.57383,-86.4165,70,86,13921.44, StrTrk 145 9 1.44V -33C 15649Pa 
9/23/2021 18:14,9/23/2021 18:14,34.5735,-86.40383,70,96,14050.67, StrTrk 146 9 1.44V -33C 15342Pa 
9/23/2021 18:15,9/23/2021 18:15,34.57317,-86.39267,50,86,14161.62, StrTrk 147 9 1.42V -34C 15075Pa 
9/23/2021 18:16,9/23/2021 18:16,34.57467,-86.38283,56,82,14257.63, StrTrk 148 9 1.43V -34C 14844Pa 
9/23/2021 18:17,9/23/2021 18:17,34.577,-86.37333,59,70,14365.53, StrTrk 149 9 1.44V -34C 14595Pa 
9/23/2021 18:18,9/23/2021 18:18,34.58083,-86.36433,57,61,14464.59, StrTrk 150 9 1.44V -34C 14343Pa 
9/23/2021 18:19,9/23/2021 18:19,34.58567,-86.3555,63,54,14576.45, StrTrk 151 9 1.43V -34C 14097Pa 
9/23/2021 18:20,9/23/2021 18:20,34.59067,-86.3465,59,55,14697.46, StrTrk 152 9 1.44V -34C 13819Pa 
9/23/2021 18:21,9/23/2021 18:21,34.59517,-86.33667,59,67,14829.43, StrTrk 153 9 1.43V -35C 13542Pa 
9/23/2021 18:22,9/23/2021 18:22,34.59867,-86.32767,59,61,14962.63, StrTrk 154 9 1.44V -35C 13246Pa 
9/23/2021 18:23,9/23/2021 18:23,34.603,-86.31833,57,65,15096.44, StrTrk 155 9 1.43V -35C 12950Pa 
9/23/2021 18:24,9/23/2021 18:24,34.607,-86.30833,65,62,15234.51, StrTrk 156 9 1.43V -35C 12669Pa 
9/23/2021 18:25,9/23/2021 18:25,34.61067,-86.29733,69,71,15372.59, StrTrk 157 9 1.42V -36C 12385Pa 
9/23/2021 18:26,9/23/2021 18:26,34.61283,-86.28533,69,83,15506.7, StrTrk 158 9 1.43V -36C 12108Pa 
9/23/2021 18:27,9/23/2021 18:27,34.61317,-86.2715,76,91,15634.72, StrTrk 159 9 1.43V -37C 11859Pa 
9/23/2021 18:28,9/23/2021 18:28,34.61217,-86.25867,67,98,15763.65, StrTrk 160 9 1.43V -37C 11610Pa 
9/23/2021 18:29,9/23/2021 18:29,34.61083,-86.24817,61,101,15902.64, StrTrk 161 9 1.42V -37C 11346Pa 
9/23/2021 18:30,9/23/2021 18:30,34.608,-86.23683,57,112,16039.49, StrTrk 162 9 1.43V -37C 11088Pa 
9/23/2021 18:31,9/23/2021 18:31,34.60467,-86.22783,50,117,16169.64, StrTrk 163 9 1.42V -36C 10849Pa 
9/23/2021 18:32,9/23/2021 18:32,34.60233,-86.222,30,104,16307.71, StrTrk 164 9 1.42V -36C 10602Pa 
9/23/2021 18:33,9/23/2021 18:33,34.60317,-86.217,28,69,16439.69, StrTrk 165 9 1.42V -37C 10370Pa 
9/23/2021 18:34,9/23/2021 18:34,34.606,-86.211,46,65,16568.62, StrTrk 166 9 1.43V -37C 10153Pa 
9/23/2021 18:35,9/23/2021 18:35,34.60883,-86.2025,57,77,16688.71, StrTrk 167 9 1.44V -36C 9956Pa 
9/23/2021 18:36,9/23/2021 18:36,34.60983,-86.19417,37,95,16822.52, StrTrk 168 9 1.44V -36C 9728Pa 
9/23/2021 18:37,9/23/2021 18:37,34.609,-86.18817,28,95,16957.55, StrTrk 169 9 1.43V -36C 9522Pa 
9/23/2021 18:38,9/23/2021 18:38,34.60883,-86.185,15,78,17088.61, StrTrk 170 9 1.44V -36C 9311Pa 
9/23/2021 18:39,9/23/2021 18:39,34.60883,-86.18283,7,19,17245.58, StrTrk 171 9 1.44V -34C 9073Pa 
9/23/2021 18:40,9/23/2021 18:40,34.61133,-86.18383,22,336,17396.76, StrTrk 172 9 1.43V -34C 8857Pa 
9/23/2021 18:41,9/23/2021 18:41,34.61467,-86.18483,17,6,17517.77, StrTrk 173 9 1.44V -34C 8676Pa 
9/23/2021 18:42,9/23/2021 18:42,34.61783,-86.184,24,13,17646.7, StrTrk 174 9 1.44V -34C 8494Pa 
9/23/2021 18:43,9/23/2021 18:43,34.622,-86.18167,33,35,17774.72, StrTrk 175 9 1.43V -34C 8319Pa 
9/23/2021 18:44,9/23/2021 18:44,34.62517,-86.17733,30,54,17894.81, StrTrk 176 9 1.44V -33C 8162Pa 
9/23/2021 18:45,9/23/2021 18:45,34.6275,-86.17367,24,56,18012.77, StrTrk 177 9 1.44V -33C 8005Pa 
