time,lasttime,lat,lng,speed,course,altitude,comment
9/23/2021 19:36,9/23/2021 19:36,34.9405,-87.362,19,164,1268.88, StrTrk 12 9 1.59V 16C 87823Pa 
9/23/2021 19:37,9/23/2021 19:37,34.93767,-87.36067,20,145,1368.86, StrTrk 13 7 1.59V 16C 86658Pa 
9/23/2021 19:38,9/23/2021 19:38,34.9355,-87.3585,15,145,1552.04, StrTrk 14 9 1.58V 14C 84746Pa 
9/23/2021 19:39,9/23/2021 19:39,34.93317,-87.35633,20,144,1752.9, StrTrk 15 9 1.57V 13C 82701Pa 
9/23/2021 19:40,9/23/2021 19:40,34.92967,-87.35467,30,161,1919.02, StrTrk 16 9 1.57V 12C 81098Pa 
9/23/2021 19:41,9/23/2021 19:41,34.925,-87.35267,30,151,2026.01, StrTrk 17 9 1.57V 12C 80052Pa 
9/23/2021 19:42,9/23/2021 19:42,34.91983,-87.3505,33,169,2090.01, StrTrk 18 9 1.56V 13C 79426Pa 
9/23/2021 19:43,9/23/2021 19:43,34.91533,-87.34883,37,162,2168.04, StrTrk 19 9 1.57V 13C 78644Pa 
9/23/2021 19:44,9/23/2021 19:44,34.91033,-87.347,35,159,2250.95, StrTrk 20 9 1.57V 14C 77873Pa 
9/23/2021 19:45,9/23/2021 19:45,34.90617,-87.34417,28,134,2360.07, StrTrk 21 9 1.57V 14C 76837Pa 
9/23/2021 19:46,9/23/2021 19:46,34.903,-87.34067,30,143,2488.08, StrTrk 22 9 1.57V 15C 75677Pa 
9/23/2021 19:47,9/23/2021 19:47,34.89917,-87.33733,33,139,2596.9, StrTrk 23 9 1.58V 15C 74695Pa 
9/23/2021 19:48,9/23/2021 19:48,34.89567,-87.33333,33,139,2695.04, StrTrk 24 9 1.58V 16C 73802Pa 
9/23/2021 19:49,9/23/2021 19:49,34.89183,-87.32867,39,129,2776.12, StrTrk 25 9 1.57V 16C 73079Pa 
9/23/2021 19:50,9/23/2021 19:50,34.88833,-87.32367,33,132,2851.1, StrTrk 26 9 1.58V 16C 72422Pa 
9/23/2021 19:51,9/23/2021 19:51,34.8855,-87.31917,28,125,2949.85, StrTrk 27 9 1.57V 15C 71569Pa 
9/23/2021 19:52,9/23/2021 19:52,34.88333,-87.31383,30,111,3069.03, StrTrk 28 9 1.58V 15C 70520Pa 
9/23/2021 19:53,9/23/2021 19:53,34.88117,-87.30817,35,118,3204.06, StrTrk 29 9 1.58V 15C 69338Pa 
9/23/2021 19:54,9/23/2021 19:54,34.87817,-87.30267,35,130,3357.07, StrTrk 30 9 1.58V 14C 68079Pa 
9/23/2021 19:56,9/23/2021 19:56,34.87067,-87.292,41,124,3618.89, StrTrk 32 9 1.57V 13C 65957Pa 
9/23/2021 19:57,9/23/2021 19:57,34.868,-87.28617,39,115,3689.91, StrTrk 33 9 1.57V 13C 65388Pa 
9/23/2021 19:58,9/23/2021 19:58,34.86567,-87.27967,37,107,3757.88, StrTrk 34 9 1.58V 13C 64831Pa 
9/23/2021 19:59,9/23/2021 19:59,34.86383,-87.27267,39,101,3849.93, StrTrk 35 9 1.58V 13C 64099Pa 
9/23/2021 20:00,9/23/2021 20:00,34.86217,-87.26633,35,115,3963.92, StrTrk 36 9 1.58V 13C 63202Pa 
9/23/2021 20:01,9/23/2021 20:01,34.8595,-87.26017,37,116,4091.03, StrTrk 37 9 1.57V 13C 62201Pa 
9/23/2021 20:02,9/23/2021 20:02,34.8565,-87.25333,44,117,4226.05, StrTrk 38 9 1.58V 13C 61186Pa 
9/23/2021 20:03,9/23/2021 20:03,34.85383,-87.2455,46,110,4351.02, StrTrk 39 9 1.56V 13C 60242Pa 
9/23/2021 20:04,9/23/2021 20:04,34.85133,-87.23817,43,112,4471.11, StrTrk 40 9 1.58V 12C 59348Pa 
9/23/2021 20:05,9/23/2021 20:05,34.849,-87.231,37,107,4586.94, StrTrk 41 9 1.57V 12C 58490Pa 
9/23/2021 20:06,9/23/2021 20:06,34.84683,-87.22417,39,108,4707.03, StrTrk 42 9 1.56V 11C 57646Pa 
9/23/2021 20:07,9/23/2021 20:07,34.84483,-87.217,43,104,4824.98, StrTrk 43 9 1.57V 10C 56786Pa 
9/23/2021 20:08,9/23/2021 20:08,34.84333,-87.20933,43,106,4934.1, StrTrk 44 9 1.57V 10C 56025Pa 
9/23/2021 20:09,9/23/2021 20:09,34.84183,-87.20167,43,98,5036.21, StrTrk 45 9 1.57V 09C 55293Pa 
9/23/2021 20:10,9/23/2021 20:10,34.84067,-87.194,41,102,5137.1, StrTrk 46 9 1.57V 8C 54606Pa 
