time,lasttime,lat,lng,speed,course,altitude,comment
2021-09-24 14:05:13,2021-09-24 14:05:13,34.62950,-85.77633,37,229,781.81," StrTrk 5 3 1.64V 21C 93229Pa "
2021-09-24 14:06:13,2021-09-24 14:06:13,34.62600,-85.78083,35,224,876.91," StrTrk 6 9 1.63V 20C 92150Pa "
2021-09-24 14:07:13,2021-09-24 14:07:13,34.62250,-85.78533,35,225,972.01," StrTrk 7 9 1.64V 20C 91095Pa "
2021-09-24 14:08:13,2021-09-24 14:08:13,34.61900,-85.78967,31,227,1061.92," StrTrk 8 9 1.63V 19C 90076Pa "
2021-09-24 14:09:13,2021-09-24 14:09:13,34.61600,-85.79317,26,218,1155.80," StrTrk 9 9 1.64V 19C 89078Pa "
2021-09-24 14:10:13,2021-09-24 14:10:13,34.61233,-85.79500,26,195,1248.77," StrTrk 10 9 1.63V 18C 88088Pa "
2021-09-24 14:11:13,2021-09-24 14:11:13,34.60867,-85.79650,28,200,1342.03," StrTrk 11 9 1.63V 19C 87112Pa "
2021-09-24 14:12:13,2021-09-24 14:12:13,34.60533,-85.79733,19,187,1442.01," StrTrk 12 9 1.63V 19C 86093Pa "
2021-09-24 14:13:13,2021-09-24 14:13:13,34.60267,-85.79817,17,186,1534.97," StrTrk 13 9 1.63V 20C 85123Pa "
2021-09-24 14:14:13,2021-09-24 14:14:13,34.60033,-85.79883,19,192,1627.02," StrTrk 14 9 1.62V 20C 84209Pa "
2021-09-24 14:15:13,2021-09-24 14:15:13,34.59833,-85.79917,13,177,1724.86," StrTrk 15 9 1.63V 20C 83231Pa "
2021-09-24 14:16:13,2021-09-24 14:16:13,34.59650,-85.79867,9,155,1819.05," StrTrk 16 9 1.63V 20C 82291Pa "
2021-09-24 14:17:13,2021-09-24 14:17:58,34.59500,-85.79733,13,140,1917.80," StrTrk 17 9 1.63V 20C 81339Pa "
2021-09-24 14:18:13,2021-09-24 14:18:13,34.59317,-85.79567,19,141,2015.95," StrTrk 18 9 1.63V 19C 80397Pa "
2021-09-24 14:19:13,2021-09-24 14:19:13,34.59083,-85.79333,24,139,2114.09," StrTrk 19 9 1.63V 19C 79461Pa "
2021-09-24 14:20:13,2021-09-24 14:21:01,34.58833,-85.79133,19,148,2211.93," StrTrk 20 9 1.62V 19C 78526Pa "
2021-09-24 14:21:13,2021-09-24 14:21:13,34.58617,-85.78983,11,144,2305.81," StrTrk 21 9 1.62V 19C 77650Pa "
2021-09-24 14:22:13,2021-09-24 14:22:13,34.58450,-85.78767,17,127,2400.91," StrTrk 22 9 1.62V 18C 76768Pa "
2021-09-24 14:23:13,2021-09-24 14:23:13,34.58250,-85.78533,20,133,2496.92," StrTrk 23 9 1.62V 18C 75862Pa "
2021-09-24 14:24:13,2021-09-24 14:24:13,34.58000,-85.78250,22,138,2595.98," StrTrk 24 9 1.63V 17C 74959Pa "
2021-09-24 14:26:13,2021-09-24 14:26:13,34.57350,-85.77667,30,133,2802.94," StrTrk 26 9 1.63V 17C 73097Pa "
2021-09-24 14:27:13,2021-09-24 14:27:13,34.57100,-85.77183,30,120,2894.99," StrTrk 27 9 1.62V 16C 72300Pa "
