time,lasttime,lat,lng,speed,course,altitude,comment
2021-09-28 13:34:10,2021-09-28 13:34:10,32.90017,-80.07450,26,76,150.88," StrTrk 12 4 1.68V 27C 100214Pa "
2021-09-28 13:35:09,2021-09-28 13:35:09,32.90067,-80.06917,31,85,260.91," StrTrk 13 0 1.68V 28C 98919Pa "
2021-09-28 13:36:09,2021-09-28 13:36:09,32.90133,-80.06317,31,81,344.73," StrTrk 14 9 1.67V 28C 97901Pa "
2021-09-28 13:37:09,2021-09-28 13:37:09,32.90233,-80.05767,30,76,428.85," StrTrk 15 9 1.66V 29C 96980Pa "
2021-09-28 13:38:09,2021-09-28 13:38:09,32.90333,-80.05283,28,80,510.84," StrTrk 16 9 1.65V 29C 96044Pa "
2021-09-28 13:39:09,2021-09-28 13:39:09,32.90367,-80.04783,26,82,587.96," StrTrk 17 9 1.65V 29C 95196Pa "
2021-09-28 13:40:09,2021-09-28 13:40:09,32.90400,-80.04333,22,77,664.77," StrTrk 18 9 1.66V 28C 94354Pa "
2021-09-28 13:41:09,2021-09-28 13:41:09,32.90483,-80.03933,24,72,746.76," StrTrk 19 9 1.65V 28C 93451Pa "
2021-09-28 13:42:09,2021-09-28 13:42:09,32.90600,-80.03567,19,72,831.80," StrTrk 20 9 1.66V 27C 92536Pa "
2021-09-28 13:43:09,2021-09-28 13:43:09,32.90667,-80.03267,17,72,922.02," StrTrk 21 9 1.66V 27C 91588Pa "
2021-09-28 13:44:09,2021-09-28 13:44:09,32.90700,-80.03000,13,75,1011.02," StrTrk 22 9 1.65V 28C 90674Pa "
2021-09-28 13:45:09,2021-09-28 13:45:09,32.90750,-80.02750,11,72,1091.79," StrTrk 23 9 1.65V 27C 89760Pa "
2021-09-28 13:46:09,2021-09-28 13:46:09,32.90767,-80.02550,13,84,1175.92," StrTrk 24 9 1.66V 26C 88924Pa "
2021-09-28 13:47:09,2021-09-28 13:47:09,32.90783,-80.02317,13,91,1255.78," StrTrk 25 9 1.65V 26C 88090Pa "
2021-09-28 13:48:09,2021-09-28 13:48:09,32.90750,-80.02050,15,98,1339.90," StrTrk 26 9 1.65V 25C 87230Pa "
2021-09-28 13:49:09,2021-09-28 13:49:09,32.90700,-80.01767,13,107,1424.03," StrTrk 27 9 1.64V 24C 86348Pa "
2021-09-28 13:50:09,2021-09-28 13:50:09,32.90617,-80.01517,15,119,1515.77," StrTrk 28 9 1.65V 24C 85418Pa "
2021-09-28 13:51:09,2021-09-28 13:51:09,32.90533,-80.01267,11,104,1605.99," StrTrk 29 9 1.65V 23C 84486Pa "
2021-09-28 13:52:09,2021-09-28 13:52:09,32.90467,-80.01100,11,115,1702.00," StrTrk 30 9 1.65V 22C 83550Pa "
2021-09-28 13:53:09,2021-09-28 13:53:09,32.90333,-80.00933,13,126,1788.87," StrTrk 31 9 1.64V 22C 82705Pa "
2021-09-28 13:54:09,2021-09-28 13:54:09,32.90233,-80.00700,15,105,1865.99," StrTrk 32 9 1.65V 22C 81934Pa "
2021-09-28 13:55:09,2021-09-28 13:55:09,32.90200,-80.00417,13,106,1937.92," StrTrk 33 9 1.65V 22C 81219Pa "
2021-09-28 13:56:09,2021-09-28 13:56:09,32.90067,-80.00250,13,151,2018.08," StrTrk 34 9 1.64V 23C 80442Pa "
2021-09-28 13:57:09,2021-09-28 13:57:09,32.89900,-80.00100,15,145,2100.07," StrTrk 35 9 1.64V 23C 79673Pa "
2021-09-28 13:59:09,2021-09-28 13:59:09,32.89517,-79.99800,9,164,2294.84," StrTrk 37 9 1.64V 22C 77857Pa "
2021-09-28 14:00:09,2021-09-28 14:00:09,32.89333,-79.99750,19,162,2385.06," StrTrk 38 9 1.63V 23C 77039Pa "
2021-09-28 14:01:09,2021-09-28 14:01:09,32.89083,-79.99633,17,151,2465.83," StrTrk 39 9 1.64V 22C 76302Pa "
2021-09-28 14:02:09,2021-09-28 14:02:09,32.88867,-79.99467,13,147,2538.98," StrTrk 40 9 1.63V 22C 75628Pa "
2021-09-28 14:03:09,2021-09-28 14:03:09,32.88683,-79.99350,11,152,2616.10," StrTrk 41 9 1.63V 22C 74947Pa "
2021-09-28 14:04:09,2021-09-28 14:04:09,32.88550,-79.99250,9,156,2696.87," StrTrk 42 9 1.63V 21C 74218Pa "
2021-09-28 14:05:09,2021-09-28 14:05:09,32.88433,-79.99200,6,160,2784.96," StrTrk 43 9 1.63V 22C 73415Pa "
2021-09-28 14:06:09,2021-09-28 14:06:09,32.88400,-79.99217,4,258,2876.09," StrTrk 44 9 1.62V 21C 72623Pa "
2021-09-28 14:07:09,2021-09-28 14:07:09,32.88400,-79.99267,2,274,2970.89," StrTrk 45 9 1.63V 20C 71797Pa "
2021-09-28 14:08:09,2021-09-28 14:08:09,32.88383,-79.99317,2,217,3066.90," StrTrk 46 9 1.63V 21C 70972Pa "
2021-09-28 14:09:09,2021-09-28 14:09:09,32.88367,-79.99317,2,154,3164.13," StrTrk 47 9 1.63V 21C 70163Pa "
2021-09-28 14:10:09,2021-09-28 14:10:09,32.88317,-79.99283,4,155,3251.91," StrTrk 48 9 1.62V 20C 69424Pa "
2021-09-28 14:11:09,2021-09-28 14:11:09,32.88250,-79.99267,6,168,3336.04," StrTrk 49 9 1.61V 20C 68732Pa "
2021-09-28 14:12:09,2021-09-28 14:12:09,32.88167,-79.99283,4,186,3411.93," StrTrk 50 9 1.62V 20C 68097Pa "
2021-09-28 14:13:09,2021-09-28 14:13:09,32.88067,-79.99267,9,170,3490.87," StrTrk 51 9 1.62V 18C 67452Pa "
2021-09-28 14:15:09,2021-09-28 14:15:09,32.87817,-79.99233,6,171,3656.08," StrTrk 53 9 1.62V 18C 66091Pa "
2021-09-28 14:16:09,2021-09-28 14:16:09,32.87733,-79.99233,4,148,3745.99," StrTrk 54 9 1.62V 17C 65378Pa "
2021-09-28 14:17:09,2021-09-28 14:17:09,32.87667,-79.99167,2,130,3834.08," StrTrk 55 9 1.62V 16C 64646Pa "
2021-09-28 14:18:09,2021-09-28 14:18:09,32.87633,-79.99083,7,114,3924.91," StrTrk 56 9 1.62V 15C 63918Pa "
2021-09-28 14:19:09,2021-09-28 14:19:09,32.87567,-79.99000,6,116,4012.08," StrTrk 57 9 1.62V 16C 63225Pa "
2021-09-28 14:20:09,2021-09-28 14:20:09,32.87533,-79.98867,9,97,4101.08," StrTrk 58 9 1.61V 15C 62548Pa "
2021-09-28 14:21:09,2021-09-28 14:21:09,32.87533,-79.98700,13,79,4184.90," StrTrk 59 9 1.61V 14C 61900Pa "
2021-09-28 14:22:09,2021-09-28 14:22:09,32.87550,-79.98467,13,89,4269.94," StrTrk 60 9 1.60V 13C 61250Pa "
2021-09-28 14:23:09,2021-09-28 14:23:09,32.87567,-79.98233,13,75,4356.20," StrTrk 61 9 1.61V 13C 60596Pa "
2021-09-28 14:24:09,2021-09-28 14:24:09,32.87600,-79.97950,15,81,4446.12," StrTrk 62 9 1.61V 13C 59921Pa "
2021-09-28 14:25:09,2021-09-28 14:25:09,32.87633,-79.97683,17,86,4535.12," StrTrk 63 9 1.61V 13C 59258Pa "
2021-09-28 14:26:09,2021-09-28 14:26:09,32.87633,-79.97367,15,87,4629.00," StrTrk 64 9 1.60V 12C 58560Pa "
2021-09-28 14:27:09,2021-09-28 14:27:09,32.87633,-79.97033,20,93,4723.18," StrTrk 65 9 1.60V 12C 57859Pa "
2021-09-28 14:28:09,2021-09-28 14:28:09,32.87633,-79.96633,22,93,4820.11," StrTrk 66 9 1.60V 11C 57171Pa "
2021-09-28 14:29:09,2021-09-28 14:29:09,32.87583,-79.96200,26,98,4915.20," StrTrk 67 9 1.60V 10C 56480Pa "
2021-09-28 14:30:09,2021-09-28 14:30:09,32.87500,-79.95750,20,110,5008.17," StrTrk 68 9 1.60V 09C 55807Pa "
2021-09-28 14:31:09,2021-09-28 14:31:09,32.87367,-79.95367,22,110,5095.04," StrTrk 69 9 1.60V 09C 55207Pa "
2021-09-28 14:32:09,2021-09-28 14:32:09,32.87217,-79.95017,24,120,5177.03," StrTrk 70 9 1.60V 8C 54639Pa "
2021-09-28 14:33:09,2021-09-28 14:33:09,32.87050,-79.94667,20,120,5259.02," StrTrk 71 9 1.60V 7C 54075Pa "
